EFTA01648569,10,mp4,video,1029875,0.98,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648569.pdf,True,yes,3,28.3,480x608,Video with speech (3 words transcribed); 480x608; 28s
EFTA01648570,10,mp4,video,2076132,1.98,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648570.pdf,True,yes,0,65.4,320x240,Video (no speech detected); 320x240; 1.1min
EFTA01648571,10,mp4,video,34431313,32.84,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648571.pdf,True,yes,5,144.4,1080x1920,Video with speech (5 words transcribed); 1080x1920; 2.4min
EFTA01648572,10,mp4,video,3730422,3.56,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648572.pdf,True,yes,129,100.1,400x720,Video with speech (129 words transcribed); 400x720; 1.7min
EFTA01648573,10,mp4,video,54835,0.05,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648573.pdf,True,yes,0,1.1,272x480,Video (no speech detected); 272x480; 1s
EFTA01648574,10,mp4,video,26581558,25.35,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648574.pdf,True,yes,0,84.5,1080x1920,Video (no speech detected); 1080x1920; 1.4min
EFTA01648575,10,mp4,video,79658,0.08,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648575.pdf,True,yes,0,11.0,320x568,Video (no speech detected); 320x568; 11s
EFTA01648576,10,mp4,video,1377485,1.31,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648576.pdf,True,yes,0,27.2,400x400,Video (no speech detected); 400x400; 27s
EFTA01648577,10,mp4,video,26309440,25.09,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648577.pdf,True,yes,0,142.3,1080x1920,Video (no speech detected); 1080x1920; 2.4min
EFTA01648578,10,mp4,video,930397,0.89,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648578.pdf,True,yes,0,43.9,320x240,Video (no speech detected); 320x240; 44s
EFTA01648579,10,mp4,video,2281612,2.18,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648579.pdf,True,yes,0,62.8,640x480,Video (no speech detected); 640x480; 1.0min
EFTA01648580,10,mp4,video,32674432,31.16,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648580.pdf,True,yes,0,42.0,1920x1080,Video (no speech detected); 1920x1080; 42s
EFTA01648581,10,mp4,video,25145056,23.98,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648581.pdf,True,yes,0,106.6,1080x1920,Video (no speech detected); 1080x1920; 1.8min
EFTA01648582,10,mp4,video,297444,0.28,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648582.pdf,True,yes,0,11.7,352x640,Video (no speech detected); 352x640; 12s
EFTA01648583,10,mp4,video,1303875,1.24,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648583.pdf,True,yes,0,121.7,352x640,Video (no speech detected); 352x640; 2.0min
EFTA01648584,10,mp4,video,2577097,2.46,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648584.pdf,True,yes,4,127.2,416x240,Video with speech (4 words transcribed); 416x240; 2.1min
EFTA01648585,10,mp4,video,5148618,4.91,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648585.pdf,True,yes,0,102.3,480x268,Video (no speech detected); 480x268; 1.7min
EFTA01648586,10,mp4,video,507020,0.48,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648586.pdf,True,yes,3,37.9,320x240,Video with speech (3 words transcribed); 320x240; 38s
EFTA01648587,10,mp4,video,2584683,2.46,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648587.pdf,True,yes,1,288.0,640x368,Video with speech (1 words transcribed); 640x368; 4.8min
EFTA01648588,10,mp4,video,352795,0.34,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648588.pdf,True,yes,0,31.3,320x240,Video (no speech detected); 320x240; 31s
EFTA01648589,10,mp4,video,6715552,6.4,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648589.pdf,True,yes,0,28.1,1080x1920,Video (no speech detected); 1080x1920; 28s
EFTA01648590,10,mp4,video,908541,0.87,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648590.pdf,True,yes,0,155.3,264x480,Video (no speech detected); 264x480; 2.6min
EFTA01648591,10,mp4,video,13876224,13.23,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648591.pdf,True,yes,0,64.7,1080x1920,Video (no speech detected); 1080x1920; 1.1min
EFTA01648592,10,mp4,video,275031,0.26,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648592.pdf,True,yes,0,1.9,854x480,Video (no speech detected); 854x480; 2s
EFTA01648593,10,mp4,video,2136217,2.04,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648593.pdf,True,yes,0,27.7,640x480,Video (no speech detected); 640x480; 28s
EFTA01648594,10,mp4,video,751087,0.72,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648594.pdf,True,yes,0,3.0,540x720,Video (no speech detected); 540x720; 3s
EFTA01648595,10,mp4,video,13848483,13.21,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648595.pdf,True,yes,0,95.4,1080x1920,Video (no speech detected); 1080x1920; 1.6min
EFTA01648596,10,mp4,video,32664567,31.15,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648596.pdf,True,yes,0,109.9,1920x1080,Video (no speech detected); 1920x1080; 1.8min
EFTA01648597,10,mp4,video,6783932,6.47,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648597.pdf,True,yes,0,125.6,1920x1080,Video (no speech detected); 1920x1080; 2.1min
EFTA01648598,10,mp4,video,3850408,3.67,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648598.pdf,True,yes,0,76.3,1920x1080,Video (no speech detected); 1920x1080; 1.3min
