EFTA01648672,10,mp4,video,376745,0.36,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648672.pdf,True,yes,0,18.1,320x568,Video (no speech detected); 320x568; 18s
EFTA01648673,10,mp4,video,20746919,19.79,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648673.pdf,True,yes,0,96.2,1080x1920,Video (no speech detected); 1080x1920; 1.6min
EFTA01648674,10,mp4,video,32428749,30.93,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648674.pdf,True,yes,7,134.7,1080x1920,Video with speech (7 words transcribed); 1080x1920; 2.2min
EFTA01648675,10,mp4,video,24383924,23.25,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648675.pdf,True,yes,29,144.5,1080x1920,Video with speech (29 words transcribed); 1080x1920; 2.4min
EFTA01648676,10,mp4,video,13230666,12.62,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648676.pdf,True,yes,11,68.4,1080x1920,Video with speech (11 words transcribed); 1080x1920; 1.1min
EFTA01648677,10,mp4,video,10772417,10.27,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648677.pdf,True,yes,0,64.7,1080x1920,Video (no speech detected); 1080x1920; 1.1min
EFTA01648678,10,mp4,video,28235108,26.93,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648678.pdf,True,yes,0,170.5,1080x1920,Video (no speech detected); 1080x1920; 2.8min
EFTA01648679,10,mp4,video,21480598,20.49,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648679.pdf,True,yes,5,144.4,1080x1920,Video with speech (5 words transcribed); 1080x1920; 2.4min
EFTA01648680,10,mp4,video,29752016,28.37,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648680.pdf,True,yes,0,142.3,1080x1920,Video (no speech detected); 1080x1920; 2.4min
EFTA01648681,10,mp4,video,33011220,31.48,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648681.pdf,True,yes,0,142.3,1080x1920,Video (no speech detected); 1080x1920; 2.4min
EFTA01648682,10,mp4,video,11604518,11.07,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648682.pdf,True,yes,18,61.9,1080x1920,Video with speech (18 words transcribed); 1080x1920; 1.0min
EFTA01648683,10,mp4,video,10402865,9.92,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648683.pdf,True,yes,18,61.9,1080x1920,Video with speech (18 words transcribed); 1080x1920; 1.0min
EFTA01648684,10,mp4,video,11046603,10.53,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648684.pdf,True,yes,18,61.9,1080x1920,Video with speech (18 words transcribed); 1080x1920; 1.0min
EFTA01648685,10,mp4,video,475629,0.45,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648685.pdf,True,yes,0,19.0,320x568,Video (no speech detected); 320x568; 19s
EFTA01648686,10,mp4,video,42575767,40.6,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648686.pdf,True,yes,0,201.6,1080x1920,Video (no speech detected); 1080x1920; 3.4min
EFTA01648687,10,mp4,video,42383069,40.42,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648687.pdf,True,yes,0,200.3,1080x1920,Video (no speech detected); 1080x1920; 3.3min
EFTA01648688,10,mp4,video,49810428,47.5,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648688.pdf,True,yes,0,198.7,1080x1920,Video (no speech detected); 1080x1920; 3.3min
EFTA01648689,10,mp4,video,29727917,28.35,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648689.pdf,True,yes,8,154.0,1080x1920,Video with speech (8 words transcribed); 1080x1920; 2.6min
EFTA01648690,10,mp4,video,21959295,20.94,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648690.pdf,True,yes,0,94.4,1080x1920,Video (no speech detected); 1080x1920; 1.6min
EFTA01648691,10,mp4,video,89106562,84.98,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648691.pdf,True,yes,0,345.8,1080x1920,Video (no speech detected); 1080x1920; 5.8min
EFTA01648692,10,mp4,video,90243249,86.06,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648692.pdf,True,yes,0,207.9,1080x1920,Video (no speech detected); 1080x1920; 3.5min
EFTA01648693,10,mp4,video,86923699,82.9,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648693.pdf,True,yes,0,207.9,1080x1920,Video (no speech detected); 1080x1920; 3.5min
EFTA01648694,10,mp4,video,38477600,36.7,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648694.pdf,True,yes,67,126.5,1080x1920,Video with speech (67 words transcribed); 1080x1920; 2.1min
EFTA01648695,10,mp4,video,28539586,27.22,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648695.pdf,True,yes,4,58.6,1080x1920,Video with speech (4 words transcribed); 1080x1920; 59s
EFTA01648696,10,mp4,video,535957,0.51,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648696.pdf,True,yes,0,18.0,320x568,Video (no speech detected); 320x568; 18s
EFTA01648697,10,mp4,video,692553,0.66,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648697.pdf,True,yes,0,19.0,320x568,Video (no speech detected); 320x568; 19s
EFTA01648698,10,mp4,video,2268726,2.16,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648698.pdf,True,yes,0,18.9,320x568,Video (no speech detected); 320x568; 19s
EFTA01648699,10,mp4,video,552705,0.53,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648699.pdf,True,yes,0,15.1,320x568,Video (no speech detected); 320x568; 15s
EFTA01648700,10,mp4,video,454223,0.43,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648700.pdf,True,yes,0,18.0,320x568,Video (no speech detected); 320x568; 18s
EFTA01648701,10,mp4,video,52500523,50.07,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648701.pdf,True,yes,0,155.5,1080x1920,Video (no speech detected); 1080x1920; 2.6min
EFTA01648702,10,mp4,video,655404,0.63,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648702.pdf,True,yes,0,1.0,1080x1920,Video (no speech detected); 1080x1920; 1s
EFTA01648703,10,mp4,video,9491924,9.05,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648703.pdf,True,yes,0,68.0,1280x720,Video (no speech detected); 1280x720; 1.1min
EFTA01648704,10,mp4,video,428678,0.41,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648704.pdf,True,yes,0,18.6,720x1280,Video (no speech detected); 720x1280; 19s
EFTA01648705,10,mp4,video,237630,0.23,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648705.pdf,True,yes,0,19.0,320x568,Video (no speech detected); 320x568; 19s
EFTA01648706,10,mp4,video,469791,0.45,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648706.pdf,True,yes,0,3.9,568x320,Video (no speech detected); 568x320; 4s
EFTA01648707,10,mp4,video,33896059,32.33,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648707.pdf,True,yes,0,139.1,1280x720,Video (no speech detected); 1280x720; 2.3min
EFTA01648708,10,mp4,video,61622374,58.77,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648708.pdf,True,yes,0,180.3,1080x1920,Video (no speech detected); 1080x1920; 3.0min
EFTA01648709,10,mp4,video,239610,0.23,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648709.pdf,True,yes,0,19.0,320x568,Video (no speech detected); 320x568; 19s
EFTA01648710,10,mp4,video,330811,0.32,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648710.pdf,True,yes,0,16.0,320x568,Video (no speech detected); 320x568; 16s
EFTA01648711,10,mp4,video,1688265,1.61,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648711.pdf,True,yes,0,40.2,320x568,Video (no speech detected); 320x568; 40s
EFTA01648712,10,mp4,video,90363370,86.18,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648712.pdf,True,yes,0,207.9,1080x1920,Video (no speech detected); 1080x1920; 3.5min
EFTA01648713,10,mp4,video,39984478,38.13,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648713.pdf,True,yes,4,420.0,1280x720,Video with speech (4 words transcribed); 1280x720; 7.0min
EFTA01648714,10,mp4,video,97565109,93.05,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648714.pdf,True,yes,0,345.8,1080x1920,Video (no speech detected); 1080x1920; 5.8min
EFTA01648715,10,mp4,video,1195111,1.14,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648715.pdf,True,yes,0,2.9,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648716,10,mp4,video,1297913,1.24,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648716.pdf,True,yes,0,3.7,1080x1440,Video (no speech detected); 1080x1440; 4s
EFTA01648717,10,mp4,video,1089933,1.04,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648717.pdf,True,yes,0,3.0,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648718,10,mp4,video,707923,0.68,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648718.pdf,True,yes,0,2.0,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01648719,10,mp4,video,1586038,1.51,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648719.pdf,True,yes,0,2.9,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648720,10,mp4,video,881665,0.84,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648720.pdf,True,yes,0,1.8,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01648721,10,mp4,video,792334,0.76,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648721.pdf,True,yes,0,2.0,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01648722,10,mp4,video,799446,0.76,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648722.pdf,True,yes,0,2.9,1440x1080,Video (no speech detected); 1440x1080; 3s
EFTA01648723,10,mp4,video,565462,0.54,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648723.pdf,True,yes,0,2.0,1440x1080,Video (no speech detected); 1440x1080; 2s
EFTA01648724,10,mp4,video,534317,0.51,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648724.pdf,True,yes,0,2.7,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648725,10,mp4,video,427962,0.41,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648725.pdf,True,yes,0,2.7,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648726,10,mp4,video,494074,0.47,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648726.pdf,True,yes,0,2.9,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648727,10,mp4,video,444902,0.42,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648727.pdf,True,yes,0,3.0,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648728,10,mp4,video,730050,0.7,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648728.pdf,True,yes,0,3.0,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648729,10,mp4,video,693780,0.66,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648729.pdf,True,yes,0,3.0,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648730,10,mp4,video,899782,0.86,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648730.pdf,True,yes,0,3.0,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648731,10,mp4,video,285498,0.27,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648731.pdf,True,yes,0,2.1,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01648732,10,mp4,video,1684294,1.61,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648732.pdf,True,yes,7,3.0,1080x1440,Video with speech (7 words transcribed); 1080x1440; 3s
EFTA01648733,10,mp4,video,937566,0.89,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648733.pdf,True,yes,2,2.0,1080x1440,Video with speech (2 words transcribed); 1080x1440; 2s
EFTA01648734,10,mp4,video,1096546,1.05,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648734.pdf,True,yes,3,2.9,1080x1440,Video with speech (3 words transcribed); 1080x1440; 3s
EFTA01648735,10,mp4,video,1107317,1.06,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648735.pdf,True,yes,0,2.9,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648736,10,mp4,video,963894,0.92,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648736.pdf,True,yes,0,3.0,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648737,10,mp4,video,915694,0.87,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648737.pdf,True,yes,0,3.0,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648738,10,mp4,video,1148782,1.1,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648738.pdf,True,yes,0,3.2,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648739,10,mp4,video,1184936,1.13,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648739.pdf,True,yes,0,2.9,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648740,10,mp4,video,1341901,1.28,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648740.pdf,True,yes,0,3.0,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648741,10,mp4,video,672921,0.64,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648741.pdf,True,yes,0,2.3,854x480,Video (no speech detected); 854x480; 2s
EFTA01648742,10,mp4,video,1423004,1.36,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648742.pdf,True,yes,0,3.0,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648743,10,mp4,video,1414806,1.35,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648743.pdf,True,yes,0,2.9,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648744,10,mp4,video,1474161,1.41,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648744.pdf,True,yes,0,3.0,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648745,10,mp4,video,1125953,1.07,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648745.pdf,True,yes,2,2.8,1080x1440,Video with speech (2 words transcribed); 1080x1440; 3s
EFTA01648746,10,mp4,video,1284164,1.22,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648746.pdf,True,yes,0,3.0,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01648747,10,mp4,video,440263,0.42,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648747.pdf,True,yes,0,1.5,854x480,Video (no speech detected); 854x480; 2s
EFTA01648748,10,mp4,video,444609,0.42,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648748.pdf,True,yes,0,1.6,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01648749,10,mp4,video,753855,0.72,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648749.pdf,True,yes,0,9.9,360x640,Video (no speech detected); 360x640; 10s
EFTA01648750,10,mp4,video,1268962,1.21,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648750.pdf,True,yes,0,36.9,1080x1920,Video (no speech detected); 1080x1920; 37s
EFTA01648751,10,mp4,video,31803489,30.33,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648751.pdf,True,yes,3,154.0,1080x1920,Video with speech (3 words transcribed); 1080x1920; 2.6min
EFTA01648752,10,mp4,video,12249162,11.68,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648752.pdf,True,yes,99,76.1,1080x1920,Video with speech (99 words transcribed); 1080x1920; 1.3min
EFTA01648753,10,mp4,video,31757113,30.29,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648753.pdf,True,yes,0,197.3,1080x1920,Video (no speech detected); 1080x1920; 3.3min
EFTA01648754,10,mp4,video,15027891,14.33,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648754.pdf,True,yes,0,89.3,1080x1920,Video (no speech detected); 1080x1920; 1.5min
EFTA01648755,10,mp4,video,23436890,22.35,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648755.pdf,True,yes,0,142.8,1080x1920,Video (no speech detected); 1080x1920; 2.4min
EFTA01648756,10,mp4,video,16725928,15.95,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648756.pdf,True,yes,0,209.2,1920x1080,Video (no speech detected); 1920x1080; 3.5min
EFTA01648757,10,mp4,video,858829,0.82,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648757.pdf,True,yes,0,11.2,480x608,Video (no speech detected); 480x608; 11s
EFTA01648758,10,mp4,video,545308,0.52,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648758.pdf,True,yes,8,15.0,480x480,Video with speech (8 words transcribed); 480x480; 15s
EFTA01648759,10,mp4,video,13216586,12.6,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648759.pdf,True,yes,0,46.9,1920x1080,Video (no speech detected); 1920x1080; 47s
EFTA01648760,10,mp4,video,19482834,18.58,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648760.pdf,True,yes,0,79.3,1920x1080,Video (no speech detected); 1920x1080; 1.3min
EFTA01648761,10,mp4,video,13689238,13.06,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648761.pdf,True,yes,0,265.7,1920x1080,Video (no speech detected); 1920x1080; 4.4min
EFTA01648762,10,mp4,video,209655,0.2,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648762.pdf,True,yes,0,56.7,1920x1080,Video (no speech detected); 1920x1080; 57s
EFTA01648763,10,mp4,video,321018,0.31,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648763.pdf,True,yes,0,87.1,1920x1080,Video (no speech detected); 1920x1080; 1.5min
EFTA01648764,10,mp4,video,58380196,55.68,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648764.pdf,True,yes,0,159.3,1080x1920,Video (no speech detected); 1080x1920; 2.7min
EFTA01648765,10,mp4,video,237198,0.23,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648765.pdf,True,yes,0,2.7,1028x1372,Video (no speech detected); 1028x1372; 3s
EFTA01648766,10,mp4,video,46540617,44.38,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648766.pdf,True,yes,0,198.7,1080x1920,Video (no speech detected); 1080x1920; 3.3min
EFTA01648767,10,mp4,video,22518451,21.48,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648767.pdf,True,yes,29,144.5,1080x1920,Video with speech (29 words transcribed); 1080x1920; 2.4min
EFTA01648768,10,mp4,video,11806941,11.26,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648768.pdf,True,yes,18,61.9,1080x1920,Video with speech (18 words transcribed); 1080x1920; 1.0min
EFTA01648769,10,mp4,video,49807769,47.5,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648769.pdf,True,yes,0,200.3,1080x1920,Video (no speech detected); 1080x1920; 3.3min
EFTA01648770,10,mp4,video,32071093,30.59,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648770.pdf,True,yes,0,434.8,1280x720,Video (no speech detected); 1280x720; 7.2min
EFTA01648771,10,mp4,video,45050613,42.96,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648771.pdf,True,yes,0,130.2,3840x2160,Video (no speech detected); 3840x2160; 2.2min
EFTA01648772,10,mp4,video,69548304,66.33,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648772.pdf,True,yes,0,587.3,1920x1080,Video (no speech detected); 1920x1080; 9.8min
EFTA01648773,10,mp4,video,180477,0.17,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648773.pdf,True,yes,3,4.4,320x240,Video with speech (3 words transcribed); 320x240; 4s
EFTA01648774,10,mp4,video,250630,0.24,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648774.pdf,True,yes,0,1.0,320x240,Video (no speech detected); 320x240; 1s
EFTA01648775,10,mp4,video,55156,0.05,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648775.pdf,True,yes,0,1.0,320x240,Video (no speech detected); 320x240; 1s
EFTA01648776,10,mp4,video,56446,0.05,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648776.pdf,True,yes,0,1.0,320x240,Video (no speech detected); 320x240; 1s
EFTA01648777,10,mp4,video,7035525,6.71,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648777.pdf,True,yes,0,42.5,640x480,Video (no speech detected); 640x480; 42s
EFTA01648778,10,mp4,video,776002,0.74,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648778.pdf,True,yes,2,14.8,640x480,Video with speech (2 words transcribed); 640x480; 15s
EFTA01648779,10,mp4,video,211381,0.2,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648779.pdf,True,yes,0,1.0,640x480,Video (no speech detected); 640x480; 1s
EFTA01648780,10,mp4,video,437414,0.42,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648780.pdf,True,yes,2,1.9,640x480,Video with speech (2 words transcribed); 640x480; 2s
EFTA01648781,10,mp4,video,803883,0.77,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648781.pdf,True,yes,6,2.9,854x480,Video with speech (6 words transcribed); 854x480; 3s
EFTA01648782,10,mp4,video,101902,0.1,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648782.pdf,True,yes,1,1.4,640x480,Video with speech (1 words transcribed); 640x480; 1s
EFTA01648783,10,mp4,video,186779,0.18,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648783.pdf,True,yes,0,4.7,320x240,Video (no speech detected); 320x240; 5s
EFTA01648784,10,mp4,video,660228,0.63,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648784.pdf,True,yes,0,17.6,320x240,Video (no speech detected); 320x240; 18s
EFTA01648785,10,mp4,video,188048,0.18,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648785.pdf,True,yes,4,11.3,320x240,Video with speech (4 words transcribed); 320x240; 11s
EFTA01654344,10,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01654344.pdf,,,,,,No Images Produced — native file type unknown
EFTA01660651,10,png,image,9119,0.01,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01660651.pdf,,,,,,Image file
EFTA01682126,10,m4a,audio,3309484,3.16,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01682126.pdf,True,yes,272,205.1,,Audio recording (272 words transcribed); 3.4min
EFTA01682127,10,m4a,audio,818883,0.78,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01682127.pdf,True,yes,120,50.9,,Audio recording (120 words transcribed); 51s
EFTA01682128,10,m4a,audio,137648,0.13,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01682128.pdf,True,yes,35,15.5,,Audio recording (35 words transcribed); 16s
EFTA01682129,10,m4a,audio,1949814,1.86,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01682129.pdf,True,yes,200,119.9,,Audio recording (200 words transcribed); 2.0min
EFTA01682130,10,m4a,audio,1809428,1.73,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01682130.pdf,True,yes,211,114.1,,Audio recording (211 words transcribed); 1.9min
EFTA01682131,10,mp4,video,36610770,34.91,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01682131.pdf,True,yes,0,28.1,1080x1920,Video (no speech detected); 1080x1920; 28s
EFTA01683314,10,mp4,video,717777737,684.53,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683314.pdf,True,yes,484,2274.4,626x478,Video with speech (484 words transcribed); 626x478; 37.9min
EFTA01683315,10,mp4,video,160719166,153.27,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683315.pdf,True,yes,0,1405.5,720x540,Video (no speech detected); 720x540; 23.4min
EFTA01683316,10,mp4,video,206667509,197.09,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683316.pdf,True,yes,0,1847.9,720x540,Video (no speech detected); 720x540; 30.8min
EFTA01683317,10,wav,audio,1920054,1.83,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683317.pdf,True,yes,0,120.0,,Audio recording (no speech detected); 2.0min
EFTA01683318,10,mp4,video,656268,0.63,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683318.pdf,True,yes,7,38.0,320x240,Video with speech (7 words transcribed); 320x240; 38s
EFTA01683319,10,mp4,video,492471,0.47,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683319.pdf,True,yes,8,9.4,272x480,Video with speech (8 words transcribed); 272x480; 9s
EFTA01683320,10,mp4,video,171074440,163.15,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683320.pdf,True,,,9852.0,352x240,Silent surveillance video; 352x240; 2.7h
EFTA01683321,10,mp4,video,269609153,257.12,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683321.pdf,True,,,9840.5,352x240,Silent surveillance video; 352x240; 2.7h
EFTA01683322,10,wav,audio,1150434,1.1,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683322.pdf,True,yes,0,71.9,,Audio recording (no speech detected); 1.2min
EFTA01683323,10,mp4,video,688703,0.66,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683323.pdf,False,,,51.1,852x480,Silent surveillance video; 852x480; 51s
EFTA01683324,10,mp4,video,3002522,2.86,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683324.pdf,True,yes,0,119.1,852x480,Video (no speech detected); 852x480; 2.0min
EFTA01683325,10,mp4,video,726186,0.69,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683325.pdf,False,,,51.1,852x480,Silent surveillance video; 852x480; 51s
EFTA01683326,10,mp4,video,937964,0.89,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683326.pdf,False,,,51.1,852x480,Silent surveillance video; 852x480; 51s
EFTA01683327,10,mp4,video,7392699,7.05,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683327.pdf,True,yes,0,366.2,852x480,Video (no speech detected); 852x480; 6.1min
EFTA01683328,10,mp4,video,23514866,22.43,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683328.pdf,True,yes,0,1023.6,852x480,Video (no speech detected); 852x480; 17.1min
EFTA01683329,10,mp4,video,20091630,19.16,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683329.pdf,True,yes,0,1023.6,852x480,Video (no speech detected); 852x480; 17.1min
EFTA01683330,10,mp4,video,18943896,18.07,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683330.pdf,True,yes,0,1023.6,852x480,Video (no speech detected); 852x480; 17.1min
EFTA01683331,10,mp4,video,6240605,5.95,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683331.pdf,True,yes,0,9.0,1920x1080,Video (no speech detected); 1920x1080; 9s
EFTA01683332,10,mp4,video,855382,0.82,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683332.pdf,True,yes,0,2.5,720x1280,Video (no speech detected); 720x1280; 2s
EFTA01683333,10,mp4,video,418217,0.4,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683333.pdf,True,yes,0,16.6,320x576,Video (no speech detected); 320x576; 17s
EFTA01683334,10,mp4,video,604160,0.58,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683334.pdf,True,yes,0,3.0,720x960,Video (no speech detected); 720x960; 3s
EFTA01683335,10,mp4,video,837017,0.8,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683335.pdf,True,yes,0,6.3,720x1280,Video (no speech detected); 720x1280; 6s
EFTA01683336,10,mp4,video,324467,0.31,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683336.pdf,True,yes,0,2.0,720x960,Video (no speech detected); 720x960; 2s
