EFTA00279962,9,avi,video,31232,0.03,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279962.pdf,False,,,0.1,320x240,Silent surveillance video; 320x240; 0s
EFTA00279963,9,avi,video,16384,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279963.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279964,9,avi,video,15872,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279964.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279965,9,avi,video,16384,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279965.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279966,9,avi,video,16384,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279966.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279967,9,avi,video,16384,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279967.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279968,9,avi,video,16384,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279968.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279969,9,avi,video,16384,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279969.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279970,9,avi,video,16384,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279970.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279971,9,avi,video,16896,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279971.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279972,9,avi,video,16384,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279972.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279973,9,avi,video,16896,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279973.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279974,9,avi,video,16896,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279974.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279975,9,avi,video,16896,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279975.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279976,9,avi,video,16384,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279976.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279977,9,avi,video,15872,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279977.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279978,9,avi,video,16384,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279978.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279979,9,avi,video,16384,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279979.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
