efta_number,dataset,extension,category,file_size_bytes,file_size_mb,doj_pdf_link,has_audio,has_transcript,transcript_word_count,duration_seconds,video_resolution,brief_description
EFTA01621070,10,mov,video,1896715,1.81,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621070.pdf,True,yes,2,2.3,1440x1080,Video with speech (2 words transcribed); 1440x1080; 2s
EFTA01621071,10,mov,video,1173397,1.12,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621071.pdf,True,yes,0,1.4,1440x1080,Video (no speech detected); 1440x1080; 1s
EFTA01621072,10,mov,video,2554537,2.44,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621072.pdf,True,yes,0,3.0,1440x1080,Video (no speech detected); 1440x1080; 3s
EFTA01621073,10,mov,video,2488590,2.37,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621073.pdf,True,yes,0,3.0,1440x1080,Video (no speech detected); 1440x1080; 3s
EFTA01621074,10,mov,video,1655438,1.58,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621074.pdf,True,yes,0,2.0,1440x1080,Video (no speech detected); 1440x1080; 2s
EFTA01621075,10,mov,video,2603562,2.48,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621075.pdf,True,yes,0,3.1,1440x1080,Video (no speech detected); 1440x1080; 3s
EFTA01621076,10,mov,video,2502889,2.39,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621076.pdf,True,yes,0,3.0,1440x1080,Video (no speech detected); 1440x1080; 3s
EFTA01621077,10,mov,video,1779328,1.7,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621077.pdf,True,yes,0,2.1,1440x1080,Video (no speech detected); 1440x1080; 2s
EFTA01621078,10,mov,video,2913748,2.78,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621078.pdf,True,yes,0,2.3,1440x1080,Video (no speech detected); 1440x1080; 2s
EFTA01621079,10,mov,video,3181200,3.03,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621079.pdf,True,yes,0,2.8,1440x1080,Video (no speech detected); 1440x1080; 3s
